condition_id,logit_A,logit_B,logit_C,p_A,p_B,p_C,p_target,role_A,role_B,role_C,scenario,sweep,top1_is_expected_letter,top1_token,variant
finance_strategy__base__5,21.859375,24.0,,0.10521053522825241,0.894789457321167,,0.894789457321167,safe,risky,,finance_strategy,5,True,' B',base
finance_strategy__order_swap__5,25.53125,21.46875,,0.9830850958824158,0.016914913430809975,,0.9830850958824158,risky,safe,,finance_strategy,5,True,' A',order_swap
finance_strategy__loss_frame__5,20.390625,24.21875,,0.021287353709340096,0.9787126779556274,,0.9787126779556274,safe,risky,,finance_strategy,5,True,' B',loss_frame
finance_strategy__base__6,21.453125,24.15625,,0.0627892017364502,0.937210738658905,,0.937210738658905,safe,risky,,finance_strategy,6,True,' B',base
finance_strategy__order_swap__6,25.5,21.40625,,0.9835969805717468,0.01640303246676922,,0.9835969805717468,risky,safe,,finance_strategy,6,True,' A',order_swap
finance_strategy__loss_frame__6,20.15625,24.28125,,0.01590639166533947,0.9840936064720154,,0.9840936064720154,safe,risky,,finance_strategy,6,True,' B',loss_frame
finance_strategy__base__7,21.359375,24.171875,,0.05665242299437523,0.9433475732803345,,0.9433475732803345,safe,risky,,finance_strategy,7,True,' B',base
finance_strategy__order_swap__7,25.484375,21.15625,,0.9869794845581055,0.013020489364862442,,0.9869794845581055,risky,safe,,finance_strategy,7,True,' A',order_swap
finance_strategy__loss_frame__7,20.09375,24.296875,,0.014728613197803497,0.9852713346481323,,0.9852713346481323,safe,risky,,finance_strategy,7,True,' B',loss_frame
finance_strategy__base__8,21.34375,24.21875,,0.053403329104185104,0.9465966820716858,,0.9465966820716858,safe,risky,,finance_strategy,8,True,' B',base
finance_strategy__order_swap__8,25.515625,21.203125,,0.9867772459983826,0.013222821988165379,,0.9867772459983826,risky,safe,,finance_strategy,8,True,' A',order_swap
finance_strategy__loss_frame__8,20.015625,24.28125,,0.01384861022233963,0.986151397228241,,0.986151397228241,safe,risky,,finance_strategy,8,True,' B',loss_frame
finance_strategy__base__10,21.3125,24.15625,,0.055005285888910294,0.9449946880340576,,0.9449946880340576,safe,risky,,finance_strategy,10,True,' B',base
finance_strategy__order_swap__10,25.515625,21.140625,,0.9875683188438416,0.012431650422513485,,0.9875683188438416,risky,safe,,finance_strategy,10,True,' A',order_swap
finance_strategy__loss_frame__10,20.015625,24.25,,0.014281935058534145,0.9857181310653687,,0.9857181310653687,safe,risky,,finance_strategy,10,True,' B',loss_frame
finance_strategy__base__12,21.09375,24.203125,,0.0427221953868866,0.957277774810791,,0.957277774810791,safe,risky,,finance_strategy,12,True,' B',base
finance_strategy__order_swap__12,25.484375,21.0625,,0.9881309270858765,0.011869121342897415,,0.9881309270858765,risky,safe,,finance_strategy,12,True,' A',order_swap
finance_strategy__loss_frame__12,19.90625,24.3125,,0.0120537793263793,0.9879462122917175,,0.9879462122917175,safe,risky,,finance_strategy,12,True,' B',loss_frame
finance_strategy__base__15,21.28125,24.15625,,0.053403329104185104,0.9465966820716858,,0.9465966820716858,safe,risky,,finance_strategy,15,True,' B',base
finance_strategy__order_swap__15,25.546875,21.109375,,0.9883127808570862,0.011687259189784527,,0.9883127808570862,risky,safe,,finance_strategy,15,True,' A',order_swap
finance_strategy__loss_frame__15,19.921875,24.21875,,0.013428254052996635,0.9865716695785522,,0.9865716695785522,safe,risky,,finance_strategy,15,True,' B',loss_frame
finance_strategy__dominated_third__6,19.0625,25.671875,17.125,0.0013455994194373488,0.9984605312347412,0.00019385197083465755,0.9984605312347412,safe,risky,dominated,finance_strategy,6,True,' B',dominated_third
finance_strategy__dominated_third__10,19.140625,25.875,17.484375,0.001187636167742312,0.9985857009887695,0.00022666434233542532,0.9985857009887695,safe,risky,dominated,finance_strategy,10,True,' B',dominated_third
finance_strategy__dominated_third__15,19.078125,25.84375,17.546875,0.001151112955994904,0.9985999464988708,0.0002489456383045763,0.9985999464988708,safe,risky,dominated,finance_strategy,15,True,' B',dominated_third
research_approach__base__None,25.421875,21.765625,,0.974821150302887,0.02517884038388729,,0.974821150302887,risky,safe,,research_approach,,True,' A',base
research_approach__order_swap__None,20.03125,23.640625,,0.026355354115366936,0.9736446738243103,,0.9736446738243103,safe,risky,,research_approach,,True,' B',order_swap
research_approach__loss_frame__None,25.03125,19.859375,,0.9943581223487854,0.005641908850520849,,0.9943581223487854,risky,safe,,research_approach,,True,' A',loss_frame
purchase__base__20,26.046875,18.5,,0.9994725584983826,0.0005274784634821117,,0.9994725584983826,buy,notbuy,,purchase,20,True,' A',base
purchase__order_swap__20,21.96875,24.34375,,0.08509904891252518,0.9149009585380554,,0.9149009585380554,notbuy,buy,,purchase,20,True,' B',order_swap
purchase__base__50,26.5,18.765625,,0.999562680721283,0.0004373344127088785,,0.999562680721283,buy,notbuy,,purchase,50,True,' A',base
purchase__order_swap__50,22.203125,24.734375,,0.07369626313447952,0.9263036847114563,,0.9263036847114563,notbuy,buy,,purchase,50,True,' B',order_swap
purchase__base__100,26.359375,18.84375,,0.9994557499885559,0.0005442132824100554,,0.9994557499885559,buy,notbuy,,purchase,100,True,' A',base
purchase__order_swap__100,21.96875,24.671875,,0.0627892017364502,0.937210738658905,,0.937210738658905,notbuy,buy,,purchase,100,True,' B',order_swap
purchase__base__200,26.1875,18.578125,,0.9995044469833374,0.0004955359036102891,,0.9995044469833374,buy,notbuy,,purchase,200,True,' A',base
purchase__order_swap__200,21.6875,24.296875,,0.06853749603033066,0.9314625263214111,,0.9314625263214111,notbuy,buy,,purchase,200,True,' B',order_swap
purchase__base__400,26.453125,18.640625,,0.999595582485199,0.00040448151412419975,,0.999595582485199,buy,notbuy,,purchase,400,True,' A',base
purchase__order_swap__400,22.03125,24.515625,,0.07696083933115005,0.9230391979217529,,0.9230391979217529,notbuy,buy,,purchase,400,True,' B',order_swap
purchase__base__800,26.28125,18.625,,0.9995272159576416,0.00047285447362810373,,0.9995272159576416,buy,notbuy,,purchase,800,True,' A',base
purchase__order_swap__800,21.3125,24.734375,,0.031618766486644745,0.9683812260627747,,0.9683812260627747,notbuy,buy,,purchase,800,True,' B',order_swap
purchase__base__1600,26.3125,18.5625,,0.9995694756507874,0.0004305570910219103,,0.9995694756507874,buy,notbuy,,purchase,1600,True,' A',base
purchase__order_swap__1600,20.296875,24.515625,,0.014503580518066883,0.985496461391449,,0.985496461391449,notbuy,buy,,purchase,1600,True,' B',order_swap
purchase_abstract_good__base__10000,26.609375,18.78125,,0.9996017813682556,0.00039821307291276753,,0.9996017813682556,fund,notfund,,purchase_abstract_good,10000,True,' A',base
purchase_abstract_good__order_swap__10000,24.765625,22.25,,0.9252300262451172,0.07477004826068878,,0.07477004826068878,notfund,fund,,purchase_abstract_good,10000,True,' A',order_swap
purchase_abstract_good__base__100000,26.71875,18.828125,,0.9996259212493896,0.00037409563083201647,,0.9996259212493896,fund,notfund,,purchase_abstract_good,100000,True,' A',base
purchase_abstract_good__order_swap__100000,24.859375,22.078125,,0.9416541457176208,0.05834583938121796,,0.05834583938121796,notfund,fund,,purchase_abstract_good,100000,True,' A',order_swap
purchase_abstract_good__base__1000000,26.34375,18.640625,,0.9995487332344055,0.0004512106243055314,,0.9995487332344055,fund,notfund,,purchase_abstract_good,1000000,True,' A',base
purchase_abstract_good__order_swap__1000000,24.828125,21.875,,0.9504110217094421,0.04958902671933174,,0.04958902671933174,notfund,fund,,purchase_abstract_good,1000000,True,' A',order_swap
purchase_abstract_good__base__10000000,26.40625,18.796875,,0.9995044469833374,0.0004955359036102891,,0.9995044469833374,fund,notfund,,purchase_abstract_good,10000000,True,' A',base
purchase_abstract_good__order_swap__10000000,24.96875,22.03125,,0.949669361114502,0.05033063143491745,,0.05033063143491745,notfund,fund,,purchase_abstract_good,10000000,True,' A',order_swap
purchase_abstract_good__base__100000000,26.375,18.96875,,0.9993928670883179,0.0006070755189284682,,0.9993928670883179,fund,notfund,,purchase_abstract_good,100000000,True,' A',base
purchase_abstract_good__order_swap__100000000,24.984375,21.953125,,0.9539660811424255,0.04603390023112297,,0.04603390023112297,notfund,fund,,purchase_abstract_good,100000000,True,' A',order_swap
