condition_id,p_A,p_B,p_C,p_target,role_A,role_B,role_C,scenario,sweep,top1_is_expected_letter,top1_token,variant
finance_strategy__base__5,0.9959298968315125,0.004070138093084097,,0.004070138093084097,safe,risky,,finance_strategy,5,True,' A',base
finance_strategy__order_swap__5,0.0009850081987679005,0.9990149736404419,,0.0009850081987679005,risky,safe,,finance_strategy,5,True,' B',order_swap
finance_strategy__loss_frame__5,0.9989995360374451,0.0010005044750869274,,0.0010005044750869274,safe,risky,,finance_strategy,5,True,' A',loss_frame
finance_strategy__base__6,0.9828232526779175,0.017176708206534386,,0.017176708206534386,safe,risky,,finance_strategy,6,True,' A',base
finance_strategy__order_swap__6,0.0012255674228072166,0.9987744688987732,,0.0012255674228072166,risky,safe,,finance_strategy,6,True,' B',order_swap
finance_strategy__loss_frame__6,0.9990745782852173,0.0009253848693333566,,0.0009253848693333566,safe,risky,,finance_strategy,6,True,' A',loss_frame
finance_strategy__base__7,0.9910145401954651,0.008985428139567375,,0.008985428139567375,safe,risky,,finance_strategy,7,True,' A',base
finance_strategy__order_swap__7,0.014728613197803497,0.9852713346481323,,0.014728613197803497,risky,safe,,finance_strategy,7,True,' B',order_swap
finance_strategy__loss_frame__7,0.9971990585327148,0.002800926798954606,,0.002800926798954606,safe,risky,,finance_strategy,7,True,' A',loss_frame
finance_strategy__base__8,0.9207897186279297,0.07921033352613449,,0.07921033352613449,safe,risky,,finance_strategy,8,True,' A',base
finance_strategy__order_swap__8,0.0378924235701561,0.9621075391769409,,0.0378924235701561,risky,safe,,finance_strategy,8,True,' B',order_swap
finance_strategy__loss_frame__8,0.9982993006706238,0.0017007224960252643,,0.0017007224960252643,safe,risky,,finance_strategy,8,True,' A',loss_frame
finance_strategy__base__10,0.9777138829231262,0.02228618785738945,,0.02228618785738945,safe,risky,,finance_strategy,10,True,' A',base
finance_strategy__order_swap__10,0.02595735527575016,0.9740425944328308,,0.02595735527575016,risky,safe,,finance_strategy,10,True,' B',order_swap
finance_strategy__loss_frame__10,0.9997730851173401,0.00022693387290928513,,0.00022693387290928513,safe,risky,,finance_strategy,10,True,' A',loss_frame
finance_strategy__base__12,0.9591543078422546,0.04084571450948715,,0.04084571450948715,safe,risky,,finance_strategy,12,True,' A',base
finance_strategy__order_swap__12,0.005641908850520849,0.9943581223487854,,0.005641908850520849,risky,safe,,finance_strategy,12,True,' B',order_swap
finance_strategy__loss_frame__12,0.9997765421867371,0.0002234163403045386,,0.0002234163403045386,safe,risky,,finance_strategy,12,True,' A',loss_frame
finance_strategy__base__15,0.9728307723999023,0.027169231325387955,,0.027169231325387955,safe,risky,,finance_strategy,15,True,' A',base
finance_strategy__order_swap__15,0.010489090345799923,0.9895108342170715,,0.010489090345799923,risky,safe,,finance_strategy,15,True,' B',order_swap
finance_strategy__loss_frame__15,0.9997175335884094,0.0002824080584105104,,0.0002824080584105104,safe,risky,,finance_strategy,15,True,' A',loss_frame
finance_strategy__dominated_third__6,0.389546662569046,0.1478552371263504,0.46259811520576477,0.1478552371263504,safe,risky,dominated,finance_strategy,6,True,' C',dominated_third
finance_strategy__dominated_third__10,5.144188617123291e-05,6.338884304568637e-06,0.9999421834945679,6.338884304568637e-06,safe,risky,dominated,finance_strategy,10,True,' C',dominated_third
finance_strategy__dominated_third__15,0.0001767074572853744,0.00021314989135134965,0.9996101260185242,0.00021314989135134965,safe,risky,dominated,finance_strategy,15,True,' C',dominated_third
research_approach__base__None,0.8221890926361084,0.17781086266040802,,0.8221890926361084,risky,safe,,research_approach,,True,' A',base
research_approach__order_swap__None,0.9987550973892212,0.0012448432389646769,,0.0012448432389646769,safe,risky,,research_approach,,True,' A',order_swap
research_approach__loss_frame__None,0.7662936449050903,0.23370636999607086,,0.7662936449050903,risky,safe,,research_approach,,True,' A',loss_frame
purchase__base__20,0.006289901677519083,0.9937100410461426,,0.006289901677519083,buy,notbuy,,purchase,20,True,' B',base
purchase__order_swap__20,0.010818448849022388,0.9891815781593323,,0.9891815781593323,notbuy,buy,,purchase,20,True,' B',order_swap
purchase__base__50,0.07263670861721039,0.9273632764816284,,0.07263670861721039,buy,notbuy,,purchase,50,True,' B',base
purchase__order_swap__50,0.00042388474685139954,0.9995761513710022,,0.9995761513710022,notbuy,buy,,purchase,50,True,' B',order_swap
purchase__base__100,0.010818448849022388,0.9891815781593323,,0.010818448849022388,buy,notbuy,,purchase,100,True,' B',base
purchase__order_swap__100,0.00029137005913071334,0.9997085928916931,,0.9997085928916931,notbuy,buy,,purchase,100,True,' B',order_swap
purchase__base__200,0.8418256044387817,0.15817435085773468,,0.8418256044387817,buy,notbuy,,purchase,200,True,' A',base
purchase__order_swap__200,0.00172745855525136,0.9982725381851196,,0.9982725381851196,notbuy,buy,,purchase,200,True,' B',order_swap
purchase__base__400,0.1276526302099228,0.872347354888916,,0.1276526302099228,buy,notbuy,,purchase,400,True,' B',base
purchase__order_swap__400,5.255395535641583e-06,0.9999947547912598,,0.9999947547912598,notbuy,buy,,purchase,400,True,' B',order_swap
purchase__base__800,0.14804719388484955,0.8519527316093445,,0.14804719388484955,buy,notbuy,,purchase,800,True,' B',base
purchase__order_swap__800,0.00029595711384899914,0.9997040629386902,,0.9997040629386902,notbuy,buy,,purchase,800,True,' B',order_swap
purchase__base__1600,0.0018102109897881746,0.9981897473335266,,0.0018102109897881746,buy,notbuy,,purchase,1600,True,' B',base
purchase__order_swap__1600,1.81622237960255e-06,0.9999982118606567,,0.9999982118606567,notbuy,buy,,purchase,1600,True,' B',order_swap
purchase_abstract_good__base__10000,0.0008295892039313912,0.9991704225540161,,0.0008295892039313912,fund,notfund,,purchase_abstract_good,10000,True,' B',base
purchase_abstract_good__order_swap__10000,0.0012255674228072166,0.9987744688987732,,0.9987744688987732,notfund,fund,,purchase_abstract_good,10000,True,' B',order_swap
purchase_abstract_good__base__100000,6.962256520637311e-06,0.999993085861206,,6.962256520637311e-06,fund,notfund,,purchase_abstract_good,100000,True,' B',base
purchase_abstract_good__order_swap__100000,0.0009253848693333566,0.9990745782852173,,0.9990745782852173,notfund,fund,,purchase_abstract_good,100000,True,' B',order_swap
purchase_abstract_good__base__1000000,0.02517884038388729,0.974821150302887,,0.02517884038388729,fund,notfund,,purchase_abstract_good,1000000,True,' B',base
purchase_abstract_good__order_swap__1000000,0.25683197379112244,0.7431679368019104,,0.7431679368019104,notfund,fund,,purchase_abstract_good,1000000,True,' B',order_swap
purchase_abstract_good__base__10000000,6.083590733396704e-07,0.9999994039535522,,6.083590733396704e-07,fund,notfund,,purchase_abstract_good,10000000,True,' B',base
purchase_abstract_good__order_swap__10000000,0.005819960031658411,0.9941800832748413,,0.9941800832748413,notfund,fund,,purchase_abstract_good,10000000,True,' B',order_swap
purchase_abstract_good__base__100000000,0.004681821912527084,0.9953181147575378,,0.004681821912527084,fund,notfund,,purchase_abstract_good,100000000,True,' B',base
purchase_abstract_good__order_swap__100000000,0.0044683837331831455,0.9955315589904785,,0.9955315589904785,notfund,fund,,purchase_abstract_good,100000000,True,' B',order_swap
