condition_id,swap_variant,layer,logit_A,logit_B,delta_AB,rank_A,rank_B,j_score_A,j_score_B,j_delta_AB,j_rank_A,j_rank_B
sc1_orig,False,0,-271.0,-220.25,-50.75,262133,262128,,,,,
sc1_orig,False,1,-613.0,-1023.5,410.5,262131,262138,,,,,
sc1_orig,False,2,-591.5,-994.0,402.5,262131,262138,,,,,
sc1_orig,False,3,-528.0,-996.5,468.5,262131,262139,,,,,
sc1_orig,False,4,-518.5,-981.5,463.0,262131,262139,,,,,
sc1_orig,False,5,-374.0,-785.5,411.5,262133,262141,,,,,
sc1_orig,False,6,-280.75,-581.5,300.75,262132,262141,,,,,
sc1_orig,False,7,-209.0,-405.25,196.25,262131,262140,,,,,
sc1_orig,False,8,-225.375,-443.75,218.375,262131,262140,,,,,
sc1_orig,False,9,-171.25,-350.0,178.75,262129,262140,,,,,
sc1_orig,False,10,-140.875,-273.5,132.625,262127,262140,,,,,
sc1_orig,False,11,-121.9375,-221.0,99.0625,262129,262139,,,,,
sc1_orig,False,12,-158.125,-260.25,102.125,262128,262138,,,,,
sc1_orig,False,13,-157.25,-257.5,100.25,262128,262138,,,,,
sc1_orig,False,14,-157.75,-251.625,93.875,262129,262137,,,,,
sc1_orig,False,15,-135.625,-183.125,47.5,262130,262137,,,,,
sc1_orig,False,16,-127.9375,-161.0,33.0625,262130,262137,,,,,
sc1_orig,False,17,-114.0,-116.0,2.0,262133,262134,,,,,
sc1_orig,False,18,-112.1875,-115.1875,3.0,262133,262134,,,,,
sc1_orig,False,19,-109.25,-115.4375,6.1875,262133,262136,,,,,
sc1_orig,False,20,-96.4375,-98.25,1.8125,262133,262134,,,,,
sc1_orig,False,21,-93.3125,-97.4375,4.125,262131,262134,,,,,
sc1_orig,False,22,-95.375,-98.125,2.75,262133,262135,,,,,
sc1_orig,False,23,-92.875,-99.3125,6.4375,262134,262135,,,,,
sc1_orig,False,24,-95.5,-110.0,14.5,262133,262137,,,,,
sc1_orig,False,25,-92.875,-113.6875,20.8125,262133,262136,,,,,
sc1_orig,False,26,-88.4375,-107.75,19.3125,262134,262138,,,,,
sc1_orig,False,27,-68.6875,-82.0625,13.375,262133,262137,,,,,
sc1_orig,False,28,-83.0625,-95.5,12.4375,262135,262139,,,,,
sc1_orig,False,29,-52.8125,-37.96875,-14.84375,261979,256290,,,,,
sc1_orig,False,30,-45.21875,-25.03125,-20.1875,260172,159000,,,,,
sc1_orig,False,31,-30.8125,5.3671875,-36.1796875,206874,510,,,,,
sc1_orig,False,32,-23.15625,23.3125,-46.46875,108165,42,,,,,
sc1_orig,False,33,-16.421875,23.296875,-39.71875,39704,48,,,,,
sc1_orig,False,34,-16.921875,18.828125,-35.75,43153,88,,,,,
sc1_orig,False,35,-8.9453125,21.09375,-30.0390625,8640,58,,,,,
sc1_orig,False,36,-8.9453125,19.328125,-28.2734375,13595,72,,,,,
sc1_orig,False,37,-13.859375,6.73046875,-20.58984375,48176,348,,,,,
sc1_orig,False,38,-21.109375,-13.2265625,-7.8828125,180045,73633,,,,,
